pos_name,brand_line,proof,category,region,sub_region,whiskey_type_id,all_upcs
Colorado Gold Rocky Mountain Whiskey Rye,Colorado Gold,90.0,American,Other,Other,d20cf63e-5736-4572-9c23-6f899b216a57,20140050215
Tartan Royal Blended Scotch Whisky,Tartan Royal,80.0,Scotch,Scotland,Other,999f58bb-d56f-4f44-9d27-c184ab6b4eb5,21130200207|21130200214
Canadian Crest Blended Canadian Whisky,Canadian Crest,80.0,Canadian,Canada,Other,5a1db11f-dd3a-49ec-8c6e-485ba71f8dd1,21130203024|21130203031|21130212453
Cold Brook Blended Whiskey,Cold Brook,80.0,American,Other,Other,0cac00fc-a7ab-4c0a-894a-c40bdd25fdc7,21130203291|21130203321
75 South Blended Whiskey,75 South,80.0,American,Other,Other,0cac00fc-a7ab-4c0a-894a-c40bdd25fdc7,21130208319|21130212460
Samuel Grant Kentucky Straight Bourbon Whiskey Vintage Cask,Samuel Grant,80.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,21130208395|21130208401
Glencullen Speyside Single Malt Scotch Whisky 10 Year,Glencullen,80.0,Scotch,Scotland,Other,9349cb96-a41d-42f2-b98e-e2d11aa346a8,21130208593
Winn Dixie Scotch Whisky,Winn Dixie,80.0,American,Other,Other,999f58bb-d56f-4f44-9d27-c184ab6b4eb5,21140197672
Winn Dixie Canadian Whisky,Winn Dixie,80.0,American,Other,Other,5a1db11f-dd3a-49ec-8c6e-485ba71f8dd1,21140198075
Winn Dixie Bourbon Whiskey,Winn Dixie,80.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,21140198082
Backroads Honey Whiskey,Backroads,92.0,American,Other,Other,12ca2047-c61c-49fb-afcc-291238c6bf9e,21893996591
Backroads Maple Whiskey,Backroads,92.0,American,Other,Other,12ca2047-c61c-49fb-afcc-291238c6bf9e,21893996607
Wide River Wheat Whiskey,Mississippi River Distilling Co.,80.0,American,Other,Other,ae30dffe-975c-44de-a5a3-bd073d1c36bb,22099147725
Cody Road Bourbon Whiskey,Cody Road,90.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,22099147749|855037005098
Windmill Rye Whiskey,Windmill,80.0,American,Other,Other,d20cf63e-5736-4572-9c23-6f899b216a57,22099147763
Queen Bee Honey Whiskey,Queen Bee,70.0,American,Other,Other,0cac00fc-a7ab-4c0a-894a-c40bdd25fdc7,22099147770|855037005166
Cody Road Rye Whiskey,Cody Road,80.0,American,Other,Other,d20cf63e-5736-4572-9c23-6f899b216a57,22099147794|855037005043|855037005203
Pabst Blue Ribbon Whiskey,Pabst Blue Ribbon,80.0,American,Other,Other,0cac00fc-a7ab-4c0a-894a-c40bdd25fdc7,22100004139
Woodshed Corn Whiskey,Woodshed,116.0,American,Other,Other,e707f850-35eb-4d7c-8acf-1abe78d1a559,22228964612|22228964636
